X,Y,POINT_X,POINT_Y,ID2,Elevation,Analytical Hillshading,Convergence Index,Total Catchment Area,Topographic Wetness Index,LS-Factor,Channel Network Base Level,Channel Network Distance,Valley Depth,Relative Slope Position,Slope,Aspect,TRASP,Profile Curvature,Plan Curvature,Tangential Curvature,Total Insolation,Cookwest cells clusterID 20191125
493217.0436,5180948.574,493217.0436,5180948.574,521,789.55044,0.772572,16.618069,109.543587,5.296607,0.077673,780.470093,9.080322,6.254395,0.592142,1.161023,264.721375,0.788776556,0.008102,0.356454,0.007223,1737.25,2
493246.2389,5180957.656,493246.2389,5180957.656,522,784.60103,0.771479,1.183013,352.042786,4.267764,3.232138,780.29071,4.310303,10.920776,0.282994,16.118294,33.966721,0.001197801,-0.005112,-0.00134,-0.000372,1423.006592,1
493262.4628,5180963.453,493262.4628,5180963.453,523,780.86817,0.77897,0.734625,629.346008,6.365459,0.750978,780.193726,0.674438,14.571228,0.044238,4.572301,38.090611,0.004976633,-0.008631,-0.006336,-0.000505,1658.392334,4
493310.2134,5180963.203,493310.2134,5180963.203,524,780.87834,0.728703,-1.790075,567.520508,5.753247,1.00325,779.915283,0.963074,14.261719,0.063257,6.020607,260.277252,0.81953662,-0.006651,-0.013113,-0.001375,1744.573242,2
493340.6477,5180950.902,493340.6477,5180950.903,525,785.65868,0.743744,3.000726,100,3.881043,0.300608,779.748718,5.909973,9.265747,0.389436,3.457667,269.93219,0.750512299,0.013125,0.071505,0.004313,1732.486084,2
492927.6971,5180999.265,492927.6971,5180999.265,526,817.4632,0.793374,57.719582,100,5.347751,0.044761,779.721252,37.741943,0,1,0.798502,190.421036,0.971090275,0.016599,0.597976,0.008333,1752.407349,2
492982.4429,5180994.776,492982.4429,5180994.776,527,804.86545,0.969511,3.138339,377.061707,4.231577,2.588598,780.02887,24.836609,1.20166,0.95385,13.940169,90.058746,0.250444104,-0.001776,0.019914,0.004797,1693.123535,4
493009.3632,5180974.388,493009.3632,5180974.388,528,797.17218,0.980991,0.881028,740.003235,5.312006,2.593645,780.185608,16.986572,5.922852,0.741467,12.067998,111.216141,0.423646284,-0.001699,0.005669,0.001185,1784.062256,2
493023.2676,5180983.677,493023.2676,5180983.677,529,795.99332,0.943062,2.70841,552.478027,5.180636,2.000399,780.329468,15.663879,6.410706,0.709589,10.316357,103.842712,0.360862418,-0.001278,0.025308,0.004532,1757.428833,2
493053.7947,5181002.485,493053.7947,5181002.485,530,792.07673,0.853164,7.815733,650.159912,5.623812,1.448364,780.816223,11.260498,8.85022,0.559925,7.830235,71.45076,0.12523755,-0.000591,-0.003145,-0.000428,1673.283813,4
493093.7133,5180986.256,493093.7133,5180986.256,531,789.76006,0.831206,-16.748379,262.23233,6.034007,0.311635,781.250305,8.509766,9.436462,0.474181,2.657647,144.238113,0.705264841,0.004635,-0.088363,-0.004097,1774.302612,2
493120.0166,5180999.406,493120.0166,5180999.406,532,791.71834,0.755417,50.96714,117.527794,4.183763,0.496223,781.70575,10.012573,6.650024,0.600901,4.639781,248.923264,0.888994055,0.004665,0.072647,0.005877,1762.105469,2
493162.9089,5180984.548,493162.9089,5180984.548,533,788.14218,0.891624,6.627751,266.84668,4.3657,1.929372,781.538574,6.603577,9.064453,0.421468,11.233453,73.350075,0.136413454,-0.005972,-0.006522,-0.00127,1644.873413,4
493192.3768,5180987.874,493192.3768,5180987.874,534,786.71987,0.70088,-3.274129,217.626816,3.974354,1.612827,781.259644,5.460205,9.860657,0.35639,10.497244,12.614066,0.022843143,0.001761,0.040574,0.007392,1514.066528,1
493224.8345,5180977.514,493224.8345,5180977.514,535,784.02223,0.834873,2.498804,357.966003,4.476524,2.567575,780.747742,3.274475,11.962585,0.214902,13.413324,50.789444,0.032554458,-0.008199,-0.008248,-0.001913,1530.942261,1
493242.8749,5180995.859,493242.8749,5180995.859,536,781.1643,0.806901,-9.814905,565.564514,6.721231,0.285316,780.71283,0.451477,14.793762,0.029614,2.286215,76.654007,0.156798832,-0.00014,0.02919,0.001164,1722.496826,2
493263.8687,5180983.071,493263.8687,5180983.071,537,780.56232,0.801148,-15.863749,975.598816,7.570203,0.214486,780.354248,0.208069,15.089417,0.013602,1.687802,76.616463,0.156560643,0.000251,0.042764,0.00126,1725.74231,2
493289.51,5180992.24,493289.51,5180992.24,538,780.94083,0.789211,-3.497793,935.487732,7.132772,0.503014,780.207764,0.733093,14.61969,0.04775,3.158876,222.605759,0.987947415,-0.00254,-0.017221,-0.000949,1776.570923,2
493322.1708,5180979.789,493322.1708,5180979.789,539,782.24967,0.700198,-2.949052,457.840485,5.551414,1.578704,779.94342,2.306274,12.943054,0.151238,8.37594,264.235321,0.792228785,-0.005267,-0.030302,-0.004414,1734.182129,2
